Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Engagement Score,Churn Probability,Risk Tier,Retention Priority Score,Customer Segment,Retention Recommendation
Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,5302,1,0.3039394629355197,Medium Risk,1611.4870324841254,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,3179,2,0.37202293203990133,Medium Risk,1182.6609009548463,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,5571,2,0.37737852840208713,Medium Risk,2102.3757817280275,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.34999999999998,79.34999999999998,1,2483,1,0.3750277639143635,Medium Risk,931.1939377993646,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,3457,1,0.25621587894543385,Low Risk,885.7382935143648,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,5806,1,0.2331863829718996,Low Risk,1353.880139534849,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Promote service bundle
Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,2604,0,0.1970846610941036,Low Risk,513.2084574890458,Loyal Customer,Offer annual plan discount | Promote service bundle
Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,5337,4,0.2906923241467376,Low Risk,1551.4249339711387,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,5034,5,0.12681038066637793,Low Risk,638.3634562745465,Loyal Customer,Offer security package | Provide pricing discount
Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,5154,3,0.10314230506121047,Low Risk,531.5954402854787,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Provide pricing discount
Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,2793,0,0.2003922060516983,Low Risk,559.6954315023934,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,5998,3,0.41587565085518224,Medium Risk,2494.422153829383,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Provide pricing discount
Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,4415,0,0.3716668125683038,Medium Risk,1640.9089774890613,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.04999999999998,2135.5,1,4638,1,0.2100447304767216,Low Risk,974.1874599510347,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,4190,5,0.4089746790974887,Medium Risk,1713.6039054184776,Loyal Customer,Offer annual plan discount | Provide free tech support trial
Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,2301,1,0.7304720712367704,High Risk,1680.8162359158086,New Customer At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,2570,0,0.4575229856866512,Medium Risk,1175.8340732146935,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,3964,0,0.3360476244442788,Medium Risk,1332.0927832971213,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,2662,3,0.3382625877179666,Medium Risk,900.455008505227,Loyal Customer,Offer annual plan discount
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,2600,0,0.5403911739624602,Medium Risk,1405.0170523023965,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,2786,2,0.304728198048978,Medium Risk,848.9727597644527,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1,5719,1,0.19071572451355293,Low Risk,1090.7032284930092,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Provide pricing discount | Promote service bundle
Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,1,4287,0,0.23573503870327567,Low Risk,1010.5961109209428,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,5444,3,0.19440060759674166,Low Risk,1058.3169077566615,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package
Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,4690,4,0.45475415206512104,Medium Risk,2132.7969731854178,Loyal Customer,Offer annual plan discount | Offer security package | Provide pricing discount
Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,4328,3,0.24228629516235636,Low Risk,1048.6150854626783,Loyal Customer,Provide free tech support trial | Offer security package | Provide pricing discount
Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,5717,0,0.2425048524722422,Low Risk,1386.4002415838088,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,4419,1,0.12711471098671537,Low Risk,561.7199078502952,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Promote service bundle
Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,4534,1,0.5177889348649233,Medium Risk,2347.655030677562,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,2152,1,0.23389298472793335,Low Risk,503.3377031345126,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,5142,2,0.2090548457251445,Low Risk,1074.960016718693,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,4851,0,0.7658169112885023,High Risk,3714.9778366605246,New Customer At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,1,2283,3,0.32697325072332234,Medium Risk,746.4799314013449,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,3394,1,0.29547417447549007,Low Risk,1002.8393481698133,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,3764,5,0.15783716898104158,Low Risk,594.0991040446405,Loyal Customer,Offer annual plan discount | Provide pricing discount
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,2667,0,0.44859059485643415,Medium Risk,1196.39111648211,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,2227,0,0.29744115984652747,Low Risk,662.4014629782167,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,3394,1,0.34043447423489476,Medium Risk,1155.4346055532328,Loyal Customer,Offer annual plan discount | Offer security package | Promote service bundle
Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,1,3638,1,0.5410194552652058,Medium Risk,1968.2287782548187,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.59999999999998,84.59999999999998,1,2484,2,0.2124845444779744,Low Risk,527.8116084832884,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Provide pricing discount | Promote service bundle
Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,2556,1,0.4822699912384263,Medium Risk,1232.6820976054175,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,5980,3,0.33091450935477335,Medium Risk,1978.8687659415446,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,4616,1,0.5610708345787202,Medium Risk,2589.9029724153725,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,5687,1,0.3779877607092542,Medium Risk,2149.6163951535286,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Promote service bundle
Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,1,5687,0,0.7220699259422086,High Risk,4106.411668833341,Valuable At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,5828,2,0.7231454399802962,High Risk,4214.491624205167,Valuable At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.54999999999998,1,4884,0,0.5374123058894213,Medium Risk,2624.721701963934,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,2314,2,0.713025549653031,High Risk,1649.9411218971138,New Customer At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,2494,4,0.746594911978218,High Risk,1862.0077104736758,Price Sensitive,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,1,5084,0,0.004630402660775001,Low Risk,23.540967127380107,Loyal Customer,Promote service bundle
Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,3810,3,0.6309751739106076,Medium Risk,2404.015412599415,Loyal Customer,Offer annual plan discount | Offer security package | Provide pricing discount
Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,5087,0,0.556849807513489,Medium Risk,2832.6949708211187,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,1,3338,0,0.5826044044956212,Medium Risk,1944.7335022063837,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,3676,2,0.6787789800443144,Medium Risk,2495.1915306428996,Low Engagement At-Risk,Offer annual plan discount | Offer security package | Provide pricing discount | Promote service bundle
Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,4839,4,0.591687568456852,Medium Risk,2863.176143762707,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,4643,3,0.6235024969143484,Medium Risk,2894.92209317332,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,1,4094,0,0.7143857929545908,High Risk,2924.695436356095,New Customer At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,4345,1,0.6253436421935115,Medium Risk,2717.1181253308073,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,4061,0,0.36558584371565717,Medium Risk,1484.6441113292838,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.09999999999998,1712.7,1,2018,0,0.5902797570825165,Medium Risk,1191.1845497925183,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.59999999999998,73.59999999999998,1,2565,1,0.5557540811007223,Medium Risk,1425.5092180233528,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Promote service bundle
Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,3677,2,0.8346747073851388,High Risk,3069.0988990551555,New Customer At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,4105,0,0.5946165417035298,Medium Risk,2440.90090369299,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.59999999999998,415.55,1,5715,1,0.7389522486513771,High Risk,4223.11210104262,Valuable At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.29999999999998,3058.65,1,2071,5,0.056732500244618074,Low Risk,117.49300800660403,Loyal Customer,Provide pricing discount
Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,2212,3,0.7004650514286566,High Risk,1549.4286937601883,Price Sensitive,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,4149,5,0.035062816416938654,Low Risk,145.47562531387848,Loyal Customer,Provide pricing discount
Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,2671,0,0.7191610126945958,High Risk,1920.8790649072653,New Customer At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.84999999999998,511.25,1,2473,0,0.7319742316561346,High Risk,1810.172274885621,New Customer At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.59999999999998,155.8,1,2683,1,0.643061644949852,Medium Risk,1725.3343934004529,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.79999999999998,5293.95,1,4903,4,0.03858727838839931,Low Risk,189.1934259383218,Loyal Customer,Offer security package
Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,1,5250,4,0.3150486931960605,Medium Risk,1654.0056392793176,Loyal Customer,Provide free tech support trial | Offer security package | Provide pricing discount
Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,1,4352,4,0.48899366889761225,Medium Risk,2128.1004470424086,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,4157,2,0.7918389182862335,High Risk,3291.674383315873,New Customer At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.79999999999998,371.9,1,4939,2,0.6954068950813711,Medium Risk,3434.614654806892,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,1,4778,2,0.46104953608054494,Medium Risk,2202.894683392844,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Promote service bundle
Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,1,3598,1,0.6162176447835754,Medium Risk,2217.1510859313044,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,1,2927,1,0.24105456679777312,Low Risk,705.5667170170819,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Promote service bundle
Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,1,5383,3,0.6360727493441898,Medium Risk,3423.9796097197736,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,1,3878,1,0.8044997473289384,High Risk,3119.850020141623,New Customer At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1,3642,4,0.6124839849237931,Medium Risk,2230.6666730924544,Loyal Customer,Offer annual plan discount | Offer security package | Provide pricing discount
